Month,Day,Hebrew Day,Layer 10,Layer 11,Layer 12,General
ינואר,20.0,ב,,"ביוטכנולוגיה - פרויקט חקר
תע""נ - סדנת עמידה מול קהל",,
ינואר,21.0,ג,,ביוטכנולוגיה - פרויקט חקר,,השתלמות מוסדית 
ינואר,22.0,ד,,בגרות במתמטיקה,בגרות במתמטיקה,בגרות במתמטיקה
ינואר,23.0,ה,,בגרות במתמטיקה,בגרות במתמטיקה,בגרות במתמטיקה
ינואר,24.0,ו,,,,סיום מחצית א'
ינואר,25.0,ש,,,,
ינואר,26.0,א,,,,תחילת מחצית ב'
ינואר,27.0,ב,,ביולוגיה - מעבדת בלמונטה,,בגרות בתנך
ינואר,28.0,ג,הצגה - סיום מחצית ,הצגה - סיום מחצית ,הצגה - סיום מחצית ,השתלמות מוסדית 
ינואר,29.0,ד,,,,
ינואר,30.0,ה,י6 - פעילות כיתות שחר,"יא6, יא11 - פעילות כיתות שחר",יב6 - פעילות כיתות שחר,
ינואר,31.0,ו,,,,
פברואר,1.0,ש,,,,
פברואר,2.0,א,סדנת לוינסקי,סדנת לוינסקי,,
פברואר,3.0,ב,סדנת לוינסקי,סדנת לוינסקי,,
פברואר,4.0,ג,סדנת לוינסקי,סדנת לוינסקי,,השתלמות מוסדית 
פברואר,5.0,ד,סדנת לוינסקי,סדנת לוינסקי,,ערב פתוח - חיל האוויר 
פברואר,6.0,ה,,,,
פברואר,7.0,ו,,,,
פברואר,8.0,ש,,,,
פברואר,9.0,א,,,,
פברואר,10.0,ב,,,,
פברואר,11.0,ג,,,,"השתלמות - סדנת מורים
חלוקת תעודות מחצית א'"
פברואר,12.0,ד,,,,
פברואר,13.0,ה,,,,"ט""ו בשבט"
פברואר,14.0,ו,,,,
פברואר,15.0,ש,,,,
פברואר,16.0,א,,,,
פברואר,17.0,ב,,מגמת גאוגרפיה - סיור,יב11 - סיור גאוגרפיה,
פברואר,18.0,ג,,אפקט הפורנו,,השתלמות מוסדית 
פברואר,19.0,ד,,,,
פברואר,20.0,ה,,,,
פברואר,21.0,ו,,,,
פברואר,22.0,ש,,,,
פברואר,23.0,א,,,,
פברואר,24.0,ב,,,,
פברואר,25.0,ג,,אפקט הפורנו,,מליאה / ישיבת רכזים
פברואר,26.0,ד,,,,
פברואר,27.0,ה,,,,"ראיונות ותהליכי קבלה לשנת תשפ""ו"
פברואר,28.0,ו,,,,
מרץ,1.0,ש,,,,
מרץ,2.0,א,,סיור ליד ושם,,
מרץ,3.0,ב,,,,
מרץ,4.0,ג,,,,השתלמות מוסדית 
מרץ,5.0,ד,,,,
מרץ,6.0,ה,,,,
מרץ,7.0,ו,,,,
מרץ,8.0,ש,,,,
מרץ,9.0,א,,,,
מרץ,10.0,ב,,,,
מרץ,11.0,ג,,,,
מרץ,12.0,ד,מסיבת פורים,מסיבת פורים,מסיבת פורים,מסיבת פורים
מרץ,13.0,ה,,,,תענית אסתר
מרץ,14.0,ו,פורים,פורים,פורים,פורים
מרץ,15.0,ש,שושן פורים,שושן פורים,שושן פורים,שושן פורים
מרץ,16.0,א,שושן פורים,שושן פורים,שושן פורים,שושן פורים
מרץ,17.0,ב,,סדנאות אלה שוורצמן,,
מרץ,18.0,ג,יום המעשים הטובים,יום המעשים הטובים,יום המעשים הטובים,יום המעשים הטובים
מרץ,19.0,ד,,,,ערב פתוח - חיל האוויר 
מרץ,20.0,ה,,,,
מרץ,21.0,ו,,,,
מרץ,22.0,ש,,,,
מרץ,23.0,א,,,,
מרץ,24.0,ב,,,,
מרץ,25.0,ג,,,,יום הורים - מחצית ב'
מרץ,26.0,ד,,,,
מרץ,27.0,ה,,,,
מרץ,28.0,ו,,,,
מרץ,29.0,ש,,,,
מרץ,30.0,א,,,,
מרץ,31.0,ב,,,,
אפריל,1.0,ג,,סדנאות אלה שוורצמן,,
אפריל,2.0,ד,,הכנה לצו ראשון,,
אפריל,3.0,ה,,,,
אפריל,4.0,ו,חופשת פסח,חופשת פסח,חופשת פסח,חופשת פסח
אפריל,5.0,ש,חופשת פסח,חופשת פסח,חופשת פסח,חופשת פסח
אפריל,6.0,א,,,,
אפריל,7.0,ב,,,,
אפריל,8.0,ג,,,,
אפריל,9.0,ד,חופשת פסח,חופשת פסח,חופשת פסח,חופשת פסח
אפריל,10.0,ה,חופשת פסח,חופשת פסח,חופשת פסח,חופשת פסח
אפריל,11.0,ו,חופשת פסח,חופשת פסח,חופשת פסח,חופשת פסח
אפריל,12.0,ש,פסח,פסח,פסח,ערב פסח
אפריל,13.0,א,פסח,פסח,פסח,א' פסח
אפריל,14.0,ב,פסח,פסח,פסח,חול המועד פסח
אפריל,15.0,ג,פסח,פסח,פסח,חול המועד פסח
אפריל,16.0,ד,פסח,פסח,פסח,חול המועד פסח
אפריל,17.0,ה,פסח,פסח,פסח,חול המועד פסח
אפריל,18.0,ו,פסח,פסח,פסח,ערב ז' פסח
אפריל,19.0,ש,פסח,פסח,פסח,ז' פסח
אפריל,20.0,א,,,,אסרו חג פסח
אפריל,21.0,ב,,,,
אפריל,22.0,ג,,,,
אפריל,23.0,ד,,,,
אפריל,24.0,ה,יום השואה והגבורה,יום השואה והגבורה,יום השואה והגבורה,יום השואה והגבורה
אפריל,25.0,ו,,,,
אפריל,26.0,ש,,,,
אפריל,27.0,א,,,,
אפריל,28.0,ב,,,,בגרות - ביולוגיה מעבדה
אפריל,29.0,ג,,,,ערב יום הזיכרון
