,,,,,,
,9,ד,חופשת פסח,חופשת פסח,חופשת פסח,חופשת פסח
,10,ה,חופשת פסח,חופשת פסח,חופשת פסח,חופשת פסח
,11,ו,חופשת פסח,חופשת פסח,חופשת פסח,חופשת פסח
,12,ש,פסח,פסח,פסח,ערב פסח
אפריל,13,א,פסח,פסח,פסח,א' פסח
,14,ב,פסח,פסח,פסח,חול המועד פסח
,15,ג,פסח,פסח,פסח,חול המועד פסח
,16,ד,פסח,פסח,פסח,חול המועד פסח
,17,ה,פסח,פסח,פסח,חול המועד פסח
,18,ו,פסח,פסח,פסח,ערב ז' פסח
,19,ש,פסח,פסח,פסח,ז' פסח
אפריל,20,א,,,,אסרו חג פסח
,21,ב,,,,
,22,ג,,,,
,23,ד,,,,
,24,ה,יום השואה והגבורה,יום השואה והגבורה,יום השואה והגבורה,יום השואה והגבורה
,25,ו,,,,
,26,ש,,,,
אפריל,27,א,,,,
,28,ב,,,,בגרות - ביולוגיה מעבדה
,29,ג,,,,ערב יום הזיכרון
,30,ד,"יום הזיכרון לחללי מערכות ישראל
 ונפגעי פעולות האיבה","יום הזיכרון לחללי מערכות ישראל
 ונפגעי פעולות האיבה","יום הזיכרון לחללי מערכות ישראל
 ונפגעי פעולות האיבה","יום הזיכרון לחללי מערכות ישראל
 ונפגעי פעולות האיבה"
מאי,1,ה,יום העצמאות,יום העצמאות,יום העצמאות,יום העצמאות
,2,ו,,,,
,3,ש,,,,
מאי,4,א,,,,
,5,ב,,,,בגרות בלשון
,6,ג,,,,
,7,ד,,,,בגרות ברוסית
,8,ה,,צו בצוותא צעירים,,
,9,ו,,,,
,10,ש,,,,
מאי,11,א,,,,
,12,ב,,,,בגרות במתמטיקה
,13,ג,,,,בגרות במתמטיקה
,14,ד,,,,
,15,ה,,,,
,16,ו,,,,"ל""ג בעומר"
,17,ש,,,,
מאי,18,א,,,,
,19,ב,,,,בגרות באנגלית
,20,ג,,,,בגרות באנגלית
,21,ד,,,,
,22,ה,,,,בגרות בביולוגיה
,23,ו,,,,
,24,ש,,,,
מאי,25,א,,,מסיבת סיום ,
,26,ב,,,,יום ירושלים
,27,ג,,,,"בגרות מגמות 
בגרות מדעי המחשב


"
,28,ד,,,,
,29,ה,,,,
,30,ו,,,,
,31,ש,,,,
יוני,1,א,ערב שבועות ,ערב שבועות ,ערב שבועות ,ערב שבועות 
,2,ב,חג השבועות,חג השבועות,חג השבועות,חג השבועות
,3,ג,,,,אסרו חג שבועות
,4,ד,,,,
,5,ה,,,,
,6,ו,,,,"בגרות בתנ""ך"
,7,ש,,,,
יוני,8,א,,,,
,9,ב,,,,
,10,ג,,,,סיום מחצית ב'
,11,ד,,,,
,12,ה,,,,"בגרות מגמות 
בגרות בכימיה


"
,13,ו,,,,
,14,ש,,,,
יוני,15,א,,,,
,16,ב,,,,בגרות בהיסטוריה
,17,ג,,,,בגרות בפיזיקה - מעבדת חקר
,18,ד,,,,
,19,ה,,,,בגרות מגמות
,20,ו,"סיום שנת הלימודים תשפ""ה",,,
,21,ש,,,,
יוני,22,א,,,,
,23,ב,,,,"בגרות בפיזיקה ובמוט""ל"
,24,ג,,,,
,25,ד,,,,
,26,ה,,,,בגרות מועד ב' בלשון
,27,ו,,,,
,28,ש,,,,
יוני,29,א,,,,
,30,ב,,,,בגרות מועד ב' באנגלית
יולי,1,ג,,,,
,2,ד,,,,בגרות מועד ב' במתמטיקה
,3,ה,,,,
,4,ו,,,,
,5,ש,,,,
יולי,6,א,,,,
,7,ב,,,,
,8,ג,,,,
,9,ד,,,,
,10,ה,,,,
,11,ו,,,,
,12,ש,,,,
יולי,13,א,,,,"צום י""ז בתמוז"
,14,ב,,,,
,15,ג,,,,
,16,ד,,,,
,17,ה,,,,
,18,ו,,,,
,19,ש,,,,
יולי,20,א,,,,
,21,ב,,,,
,22,ג,,,,
,23,ד,,,,
,24,ה,,,,
,25,ו,,,,
,26,ש,,,,
יולי,27,א,,,,
,28,ב,,,,
,29,ג,,,,
,30,ד,,,,
,31,ה,,,,
